,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pianco,-7.2,-37.93,68.92,78,1,8.61,BR,1592975648
1,tonantins,-2.87,-67.8,72.43,97,72,1.25,BR,1592975648
2,swellendam,-34.02,20.44,37.4,93,0,2.17,ZA,1592975648
3,castro,-24.79,-50.01,52.99,92,0,4.41,BR,1592975445
4,zhuanghe,39.7,122.99,65.21,90,100,19.82,CN,1592975648
5,narsaq,60.92,-46.05,46.4,75,57,1.12,GL,1592975445
6,kapoeta,4.77,33.59,75.94,71,16,2.77,SS,1592975648
7,vaini,-21.2,-175.2,77.0,83,40,4.7,TO,1592975438
8,jamestown,42.1,-79.24,61.0,87,75,8.05,US,1592975440
9,erzin,36.96,36.2,75.99,79,31,5.53,TR,1592975648
10,punta arenas,-53.15,-70.92,33.8,69,18,6.93,CL,1592975442
11,new norfolk,-42.78,147.06,55.99,88,100,1.95,AU,1592975453
12,adrar,27.87,-0.29,82.4,8,0,14.99,DZ,1592975444
13,lake station,41.58,-87.24,64.4,93,40,3.42,US,1592975648
14,acari,-15.43,-74.62,62.33,66,46,3.09,PE,1592975648
15,avarua,-21.21,-159.78,77.0,78,47,6.93,CK,1592975443
16,paamiut,61.99,-49.67,39.65,81,78,6.13,GL,1592975464
17,kruisfontein,-34.0,24.73,59.02,33,0,13.78,ZA,1592975443
18,ushuaia,-54.8,-68.3,33.8,80,90,11.41,AR,1592975444
19,chokurdakh,70.63,147.92,78.49,26,30,6.55,RU,1592975443
20,rikitea,-23.12,-134.97,70.25,54,78,10.69,PF,1592975441
21,tuktoyaktuk,69.45,-133.04,37.4,86,90,11.41,CA,1592975453
22,albany,42.65,-73.76,78.8,65,90,13.87,US,1592975441
23,souillac,-20.52,57.52,73.4,78,40,11.41,MU,1592975440
24,debno,52.74,14.7,62.01,22,4,1.01,PL,1592975649
25,port alfred,-33.59,26.89,64.0,34,2,10.0,ZA,1592975448
26,bredasdorp,-34.53,20.04,37.4,93,0,1.54,ZA,1592975443
27,ojinaga,29.57,-104.42,87.8,35,1,12.75,MX,1592975649
28,leningradskiy,69.38,178.42,32.72,92,91,12.8,RU,1592975443
29,olenino,56.21,33.49,63.14,66,0,4.45,RU,1592975649
30,hami,42.8,93.45,90.46,10,38,6.71,CN,1592975649
31,hithadhoo,-0.6,73.08,84.49,73,27,9.73,MV,1592975441
32,georgetown,6.8,-58.16,77.0,100,40,2.24,GY,1592975272
33,viransehir,37.24,39.76,77.81,37,0,10.6,TR,1592975649
34,cidreira,-30.18,-50.21,66.92,76,33,4.81,BR,1592975442
35,kyzyl-mazhalyk,51.13,90.6,71.82,42,5,3.83,RU,1592975649
36,iqaluit,63.75,-68.51,39.2,93,75,11.41,CA,1592975284
37,qaanaaq,77.48,-69.36,36.7,77,0,4.5,GL,1592975442
38,miri,4.41,114.01,87.8,70,75,6.93,MY,1592975307
39,dingle,11.0,122.67,90.73,58,88,8.97,PH,1592975445
40,lebu,-37.62,-73.65,46.87,81,90,7.63,CL,1592975445
41,ilulissat,69.22,-51.1,39.2,86,88,3.36,GL,1592975449
42,laguna,38.42,-121.42,73.4,53,1,12.75,US,1592975415
43,mar del plata,-38.0,-57.56,50.0,100,100,2.24,AR,1592975447
44,busselton,-33.65,115.33,62.01,59,99,1.99,AU,1592975355
45,bluff,-46.6,168.33,47.71,83,91,14.56,NZ,1592975443
46,nhulunbuy,-12.23,136.77,82.4,54,75,14.99,AU,1592975650
47,sola,-13.88,167.55,82.26,72,91,5.61,VU,1592975453
48,tiksi,71.69,128.87,60.66,53,37,5.53,RU,1592975279
49,puerto ayora,-0.74,-90.35,70.0,91,38,1.99,EC,1592975442
50,pevek,69.7,170.31,32.23,97,84,13.76,RU,1592975462
51,port hedland,-20.32,118.57,84.2,20,0,13.87,AU,1592975650
52,saint-philippe,-21.36,55.77,73.4,73,75,4.7,RE,1592975445
53,talnakh,69.49,88.4,66.2,39,40,6.71,RU,1592975443
54,pahrump,36.21,-115.98,90.0,10,79,3.0,US,1592975650
55,meulaboh,4.14,96.13,85.64,59,99,3.49,ID,1592975426
56,fortuna,40.6,-124.16,59.0,93,90,4.7,US,1592975441
57,rognan,67.1,15.39,57.0,81,95,3.0,NO,1592975650
58,mahebourg,-20.41,57.7,73.4,78,40,11.41,MU,1592975464
59,poum,-20.23,164.02,73.36,77,0,19.91,NC,1592975650
60,waddan,29.16,16.14,70.61,56,0,3.24,LY,1592975650
61,hun,29.13,15.95,70.09,59,0,3.49,LY,1592975650
62,kapaa,22.08,-159.32,80.6,69,1,12.75,US,1592975410
63,yellowknife,62.46,-114.35,66.2,37,75,12.75,CA,1592975429
64,salalah,17.02,54.09,84.2,83,75,2.24,OM,1592975444
65,cherskiy,68.75,161.3,54.18,42,59,18.14,RU,1592975456
66,hobart,-42.88,147.33,55.99,93,75,8.05,AU,1592975446
67,sitka,57.05,-135.33,55.4,71,75,5.82,US,1592975449
68,saskylakh,71.92,114.08,87.46,20,3,7.76,RU,1592975442
69,arraial do cabo,-22.97,-42.03,71.08,78,94,25.41,BR,1592975397
70,tuatapere,-46.13,167.68,47.62,88,83,4.88,NZ,1592975454
71,rosarito,32.33,-117.03,64.99,88,90,4.7,MX,1592975651
72,zhuhai,22.28,113.57,97.0,79,40,13.87,CN,1592975459
73,necochea,-38.55,-58.74,41.0,96,100,3.89,AR,1592975451
74,lhokseumawe,5.18,97.15,87.37,60,100,4.32,ID,1592975651
75,umm lajj,25.02,37.27,98.46,15,43,21.92,SA,1592975651
76,yar-sale,66.83,70.83,57.47,46,22,7.85,RU,1592975459
77,carnarvon,-24.87,113.63,71.6,43,0,12.75,AU,1592975441
78,ust-kuyga,70.02,135.6,83.62,28,0,9.33,RU,1592975651
79,martapura,-3.42,114.85,87.96,59,100,7.05,ID,1592975651
80,matamoros,25.53,-103.25,82.99,35,81,4.0,MX,1592975546
81,thompson,55.74,-97.86,68.0,49,20,3.36,CA,1592975442
82,butaritari,3.07,172.79,83.79,73,14,13.38,KI,1592975446
83,skjervoy,70.03,20.97,51.8,93,75,8.05,NO,1592975460
84,portales,34.19,-103.33,66.0,100,1,6.93,US,1592975598
85,broken hill,-31.95,141.43,59.0,51,40,10.29,AU,1592975651
86,susanville,40.42,-120.65,75.2,38,1,5.82,US,1592975652
87,port lincoln,-34.73,135.87,59.99,54,5,10.47,AU,1592975444
88,yulara,-25.24,130.99,66.2,24,0,3.36,AU,1592975441
89,kuytun,54.34,101.5,79.39,41,6,3.98,RU,1592975652
90,owando,-0.48,15.9,72.18,77,25,1.39,CG,1592975468
91,minot,48.23,-101.3,66.2,55,20,3.36,US,1592975652
92,severo-kurilsk,50.68,156.12,49.12,83,99,7.58,RU,1592975455
93,dikson,73.51,80.55,39.34,76,8,9.75,RU,1592975449
94,ponta do sol,32.67,-17.1,69.8,64,20,8.05,PT,1592975455
95,boyuibe,-20.42,-63.28,63.99,87,0,2.62,BO,1592975652
96,clyde river,70.47,-68.59,39.2,86,90,6.93,CA,1592975447
97,kamariotissa,40.48,25.47,69.8,94,75,4.7,GR,1592975652
98,bambous virieux,-20.34,57.76,73.99,78,40,11.41,MU,1592975452
99,lata,40.16,-8.33,64.99,84,98,2.66,PT,1592975525
100,geraldton,-28.77,114.6,69.8,64,40,11.41,AU,1592975468
101,ribeira grande,38.52,-28.7,61.02,67,31,12.62,PT,1592975454
102,ostrovnoy,68.05,39.51,43.09,74,96,14.61,RU,1592975653
103,ancud,-41.87,-73.82,37.99,100,78,3.36,CL,1592975455
104,derzhavinsk,51.1,66.32,65.91,42,32,4.32,KZ,1592975444
105,yenagoa,4.92,6.26,74.19,96,78,1.32,NG,1592975653
106,bilma,18.69,12.92,84.88,14,0,7.29,NE,1592975653
107,hermanus,-34.42,19.23,44.01,96,0,3.0,ZA,1592975234
108,alofi,-19.06,-169.92,78.8,78,52,9.17,NU,1592975448
109,wahpeton,46.27,-96.61,62.6,63,14,3.04,US,1592975653
110,khatanga,71.97,102.5,78.62,38,33,5.99,RU,1592975442
111,tomelloso,39.15,-3.02,68.0,50,100,5.99,ES,1592975653
112,alice springs,-23.7,133.88,62.6,29,0,5.82,AU,1592975159
113,shubarshi,48.59,57.19,80.69,17,2,19.42,KZ,1592975654
114,arman,59.7,150.17,57.31,70,8,6.96,RU,1592975654
115,luwuk,-0.95,122.79,77.79,83,100,5.75,ID,1592975654
116,uspenka,48.39,39.16,73.08,77,0,10.36,UA,1592975654
117,east london,-33.02,27.91,64.4,27,0,12.75,ZA,1592975444
118,takoradi,4.88,-1.76,76.78,87,75,6.67,GH,1592975486
119,kiama,-34.68,150.87,64.0,84,62,5.99,AU,1592975654
120,vieira de leiria,39.87,-8.93,62.6,88,90,8.05,PT,1592975654
121,novyy urengoy,66.08,76.63,57.0,51,2,5.75,RU,1592975654
122,shingu,33.73,135.98,82.4,65,40,11.41,JP,1592975444
123,samarai,-10.62,150.67,79.93,84,100,15.95,PG,1592975654
124,cape town,-33.93,18.42,55.0,93,0,9.17,ZA,1592975341
125,mingaora,34.78,72.36,86.0,40,87,4.88,PK,1592975654
126,paranagua,-25.52,-48.51,51.8,100,0,3.36,BR,1592975655
127,nioro,13.35,-15.75,81.88,74,45,3.71,GM,1592975655
128,lorengau,-2.02,147.27,84.25,76,99,8.84,PG,1592975455
129,los llanos de aridane,28.66,-17.92,71.6,68,90,16.11,ES,1592975445
130,marsa matruh,31.35,27.25,64.4,82,0,2.8,EG,1592975624
131,bethel,41.37,-73.41,71.6,88,90,5.82,US,1592975446
132,san patricio,19.22,-104.7,80.83,81,13,3.49,MX,1592975454
133,point pleasant,40.08,-74.07,77.0,100,1,5.82,US,1592975655
134,luderitz,-26.65,15.16,57.2,29,0,2.24,NA,1592975456
135,constitucion,-35.33,-72.42,47.82,80,94,2.37,CL,1592975463
136,valday,57.97,33.25,66.0,55,0,4.34,RU,1592975655
137,maragogi,-9.01,-35.22,73.89,87,2,7.27,BR,1592975655
138,williamsburg,37.27,-76.71,78.8,83,20,6.93,US,1592975401
139,marawi,8.0,124.29,86.0,76,68,5.99,PH,1592975655
140,padang,-0.95,100.35,81.7,67,100,5.41,ID,1592975293
141,blythe,33.61,-114.6,98.6,13,1,11.41,US,1592975655
142,isangel,-19.55,169.27,77.34,80,44,2.53,VU,1592975655
143,kota kinabalu,5.97,116.07,87.8,79,20,6.93,MY,1592975546
144,beringovskiy,63.05,179.32,40.59,77,74,12.03,RU,1592975468
145,maebaru,33.55,130.2,96.01,43,40,10.29,JP,1592975656
146,mogadishu,2.04,45.34,80.6,69,75,17.22,SO,1592975656
147,thinadhoo,0.53,72.93,84.09,78,52,9.75,MV,1592975470
148,atuona,-9.8,-139.03,79.93,77,24,17.43,PF,1592975442
149,cairns,-16.92,145.77,78.8,57,32,14.99,AU,1592975656
150,provideniya,64.38,-173.3,42.8,75,75,13.42,RU,1592975462
151,terrace bay,48.78,-87.1,50.43,59,100,9.46,CA,1592975656
152,bambanglipuro,-7.95,110.28,83.21,69,91,16.04,ID,1592975656
153,diedorf,48.35,10.77,59.0,72,0,2.24,DE,1592975656
154,victoria,48.43,-123.37,66.0,77,99,7.18,CA,1592975349
155,grindavik,63.84,-22.43,48.2,100,75,5.82,IS,1592975451
156,ust-nera,64.57,143.2,81.05,26,39,2.82,RU,1592975456
157,kyaukse,21.6,96.13,93.2,63,75,8.05,MM,1592975656
158,cody,44.53,-109.06,73.99,45,1,2.68,US,1592975656
159,harper,4.38,-7.72,75.9,83,100,6.6,LR,1592975462
160,yumen,40.28,97.2,81.97,13,74,5.68,CN,1592975656
161,yaring,6.87,101.37,86.0,74,40,5.82,TH,1592975656
162,codrington,-38.27,141.97,57.97,79,45,3.06,AU,1592975456
163,usinsk,65.99,57.53,44.1,69,70,9.35,RU,1592975656
164,do gonbadan,30.36,50.8,96.8,20,0,4.7,IR,1592975657
165,dunedin,-45.87,170.5,50.0,85,77,6.42,NZ,1592975657
166,mackay,-21.15,149.2,73.99,43,0,16.11,AU,1592975463
167,vytegra,61.01,36.45,56.75,44,0,3.91,RU,1592975657
168,tecoanapa,16.52,-98.75,79.7,78,100,5.57,MX,1592975459
169,te anau,-45.42,167.72,46.13,85,12,3.24,NZ,1592975458
170,nivala,63.92,25.0,68.0,56,95,3.0,FI,1592975657
171,kokopo,-4.35,152.26,85.39,69,0,9.82,PG,1592975657
172,norman wells,65.28,-126.83,46.4,93,75,12.75,CA,1592975443
173,barrow,71.29,-156.79,35.6,80,90,4.88,US,1592975416
174,panjab,34.39,67.02,69.57,26,1,4.7,AF,1592975657
175,kodiak,57.79,-152.41,51.8,81,90,10.29,US,1592975448
176,maniitsoq,65.42,-52.9,39.54,86,98,2.86,GL,1592975497
177,el bagre,7.59,-74.81,75.7,95,100,1.12,CO,1592975657
178,meadow lake,34.8,-106.54,71.6,43,40,25.28,US,1592975657
179,lompoc,34.64,-120.46,59.0,87,90,6.93,US,1592975194
180,cabo san lucas,22.89,-109.91,86.0,35,0,12.39,MX,1592975157
181,baruun-urt,46.68,113.28,76.89,44,97,17.27,MN,1592975657
182,santarem,-2.44,-54.71,75.2,94,8,1.68,BR,1592975658
183,nha trang,12.25,109.18,96.8,56,20,12.75,VN,1592975658
184,swan hill,-35.34,143.55,61.36,58,0,6.17,AU,1592975658
185,tabas,33.6,56.92,93.04,14,0,2.59,IR,1592975658
186,varhaug,58.61,5.65,59.0,87,20,5.82,NO,1592975445
187,yuci,37.68,112.73,87.8,31,0,6.71,CN,1592975658
188,bandarbeyla,9.49,50.81,86.05,56,47,27.22,SO,1592975454
189,huangyan,28.65,121.26,84.99,53,90,1.5,CN,1592975658
190,finschhafen,-6.6,147.87,83.53,71,63,10.67,PG,1592975659
191,esperance,-33.87,121.9,62.6,45,17,25.28,AU,1592975444
192,thai binh,20.45,106.33,95.0,63,100,9.17,VN,1592975659
193,kikwit,-5.04,18.82,67.26,46,1,2.17,CD,1592975659
194,mutare,-18.97,32.67,50.45,93,27,1.72,ZW,1592975659
195,touros,-5.2,-35.46,73.4,94,20,4.7,BR,1592975466
196,deputatskiy,69.3,139.9,79.41,26,0,11.03,RU,1592975459
197,rocha,-34.48,-54.33,57.31,97,100,4.97,UY,1592975446
198,belmopan,17.25,-88.77,79.0,89,81,2.95,BZ,1592975659
199,van,38.49,43.38,69.8,46,0,4.7,TR,1592975659
200,chuy,-33.7,-53.46,64.18,94,100,0.72,UY,1592975449
201,longyearbyen,78.22,15.64,41.0,86,40,2.51,SJ,1592975451
202,sao filipe,14.9,-24.5,76.53,78,0,7.74,CV,1592975451
203,redlands,34.06,-117.18,75.99,53,1,6.93,US,1592975659
204,nalut,31.87,10.98,62.37,68,0,4.79,LY,1592975660
205,hilo,19.73,-155.09,78.8,65,75,8.05,US,1592975429
206,rawson,-43.3,-65.1,43.57,62,17,12.71,AR,1592975456
207,aktash,50.3,87.73,64.74,44,98,0.96,RU,1592975660
208,ilheus,-14.79,-39.05,67.71,82,44,5.06,BR,1592975660
209,hovd,48.01,91.64,70.7,22,99,8.01,MN,1592975660
210,cayenne,4.93,-52.33,75.2,100,90,4.27,GF,1592975456
211,sompeta,18.93,84.6,89.74,66,1,10.71,IN,1592975660
212,sisimiut,66.94,-53.67,39.76,79,64,6.64,GL,1592975450
213,chekhov,55.14,37.47,68.0,56,0,8.95,RU,1592975660
214,kjollefjord,70.95,27.35,48.2,66,37,6.93,NO,1592975660
215,flinders,-34.58,150.86,64.0,65,51,5.01,AU,1592975660
216,oktyabrskiy,54.48,53.47,61.61,76,100,12.59,RU,1592975660
217,bodo,67.28,14.4,54.0,81,75,4.7,NO,1592975642
218,praia,14.92,-23.51,77.0,78,1,13.87,CV,1592975661
219,kendari,-3.94,122.5,82.69,78,72,2.91,ID,1592975661
220,strathmore,51.05,-113.39,66.99,72,6,3.0,CA,1592975616
221,yerbogachen,61.28,108.01,72.07,43,24,7.76,RU,1592975661
222,saltillo,25.42,-101.0,75.2,41,5,9.17,MX,1592975405
223,san felipe,10.34,-68.74,70.68,93,41,2.28,VE,1592975661
224,port-cartier,50.03,-66.87,61.0,93,75,4.7,CA,1592975661
225,buraydah,26.33,43.98,82.4,21,0,10.29,SA,1592975661
226,boca do acre,-8.75,-67.4,73.31,85,24,2.17,BR,1592975661
227,havre-saint-pierre,50.23,-63.6,60.8,93,1,4.7,CA,1592975461
228,saint-leu,-21.15,55.28,73.4,73,75,4.7,RE,1592975661
229,shimanovsk,52.0,127.7,70.45,49,100,7.65,RU,1592975661
230,fort nelson,58.81,-122.7,64.4,42,40,6.93,CA,1592975444
231,mwense,-10.38,28.7,58.55,74,0,3.96,ZM,1592975662
